q,seq_len,p_clean,p_clean_ablate_top_head,p_corrupt,p_corrupt_restore_top_head
2,247,0.9176638126373291,0.6599153876304626,0.024100584909319878,0.32332077622413635
3,266,0.7764943838119507,0.3638564646244049,0.009844804182648659,0.18386316299438477
4,241,0.9683961272239685,0.8985510468482971,0.1368180513381958,0.5082505345344543
5,254,0.9196350574493408,0.7237240076065063,0.002342068590223789,0.03845881670713425
7,233,0.9471945762634277,0.886809766292572,0.20540153980255127,0.5582977533340454
9,232,0.9471656680107117,0.8582428097724915,0.2261551320552826,0.6568137407302856
10,249,0.9340423345565796,0.7908810973167419,0.1901995837688446,0.6807205080986023
11,249,0.8247518539428711,0.435383677482605,0.015150408260524273,0.242246612906456
13,233,0.9254646301269531,0.8040530681610107,0.11901681870222092,0.401377409696579
14,230,0.4222121238708496,0.19659118354320526,0.013762017711997032,0.06925684213638306
15,212,0.8355073928833008,0.5437901020050049,0.020703965798020363,0.160763680934906
16,210,0.40746256709098816,0.1522596776485443,0.006850088015198708,0.04140368849039078
17,213,0.7900488376617432,0.4991631507873535,0.012289293110370636,0.1217816025018692
18,212,0.8398564457893372,0.6292406320571899,0.059434086084365845,0.259583055973053
19,323,0.4777396023273468,0.1844504475593567,0.0026076233480125666,0.02429215796291828
20,216,0.9316315054893494,0.840039074420929,0.27517813444137573,0.5987970232963562
21,256,0.9354454874992371,0.7633776664733887,0.010052886791527271,0.17997366189956665
22,268,0.519477367401123,0.07968905568122864,0.00039552044472657144,0.024639101698994637
23,276,0.7998436093330383,0.43816113471984863,0.013793367892503738,0.18821042776107788
25,191,0.9911435842514038,0.9768853783607483,0.20422685146331787,0.5955155491828918
26,209,0.8755691647529602,0.6629506945610046,0.04000381380319595,0.18181990087032318
28,235,0.818146288394928,0.5518618226051331,0.01997341960668564,0.1338908076286316
30,202,0.9472885727882385,0.8539792895317078,0.08919407427310944,0.3548160791397095
31,227,0.9447011351585388,0.8328455090522766,0.20172207057476044,0.6360910534858704
32,245,0.9589651226997375,0.8540232181549072,0.03217574208974838,0.346304714679718
33,198,0.6110720634460449,0.18050546944141388,0.0006080065504647791,0.01126821618527174
36,233,0.9735335111618042,0.9341813325881958,0.15779682993888855,0.537990152835846
37,226,0.92743319272995,0.7820800542831421,0.02721044048666954,0.19638656079769135
38,214,0.636121392250061,0.24778234958648682,0.027764905244112015,0.23902146518230438
39,256,0.9690409898757935,0.9095661044120789,0.2118578404188156,0.6887301802635193
41,240,0.7163887619972229,0.26733314990997314,0.0019569573923945427,0.04527512937784195
43,246,0.9790621995925903,0.9095504879951477,0.017027467489242554,0.284527450799942
44,238,0.5522608757019043,0.14697064459323883,0.0015250395517796278,0.024481141939759254
45,222,0.9639512896537781,0.8778198957443237,0.23607464134693146,0.6972741484642029
46,202,0.9571815729141235,0.863052487373352,0.07355119287967682,0.39046522974967957
48,215,0.666990339756012,0.27286073565483093,0.007550375536084175,0.08739235997200012
49,195,0.9452292323112488,0.8087626695632935,0.048412371426820755,0.2926552891731262
50,205,0.7358434200286865,0.37614044547080994,0.01462837029248476,0.11488538235425949
53,215,0.9695308804512024,0.8894879817962646,0.08529483526945114,0.47427234053611755
54,197,0.9868653416633606,0.9552774429321289,0.06139199063181877,0.4494544565677643
55,205,0.9706096053123474,0.8986213207244873,0.25591757893562317,0.7123270630836487
56,188,0.938906192779541,0.8202760219573975,0.01097387820482254,0.08157291263341904
57,212,0.7012138962745667,0.4018438756465912,0.06212324649095535,0.24416661262512207
58,207,0.828733503818512,0.5246883034706116,0.02266537770628929,0.15655659139156342
59,215,0.902732253074646,0.6706681847572327,0.03146025910973549,0.298835813999176
60,208,0.6488892436027527,0.2495671808719635,0.029607553035020828,0.21395403146743774
61,203,0.9819983839988708,0.9469146132469177,0.27558836340904236,0.656248927116394
62,210,0.8917115926742554,0.7451609373092651,0.28795933723449707,0.5934032201766968
63,233,0.9470174908638,0.8783893585205078,0.3187601864337921,0.7068901658058167
65,261,0.33652761578559875,0.03690458834171295,0.0018975622951984406,0.039086516946554184
67,276,0.9473156332969666,0.8146100640296936,0.03229181468486786,0.42849060893058777
68,382,0.9252758026123047,0.740656316280365,0.03730899468064308,0.3115156888961792
71,280,0.9007818102836609,0.5514882802963257,0.009649030864238739,0.3468169867992401
72,279,0.6117088198661804,0.2165384143590927,0.011982651427388191,0.16635510325431824
73,386,0.8802089691162109,0.5552912354469299,0.06455250829458237,0.4059692919254303
77,298,0.9029527306556702,0.7605872750282288,0.23526102304458618,0.5859442353248596
78,269,0.7211238741874695,0.326479971408844,0.01346097607165575,0.10731191188097
82,426,0.8741758465766907,0.34108924865722656,0.002701154910027981,0.30703142285346985
83,237,0.44958391785621643,0.14967741072177887,0.01163731049746275,0.06940296292304993
84,200,0.7651634216308594,0.3321612477302551,0.04870978370308876,0.2792952060699463
85,303,0.9836705327033997,0.9462845325469971,0.009729811921715736,0.20957300066947937
87,286,0.6676598787307739,0.1563626229763031,0.0005970477941446006,0.03148595243692398
88,415,0.8453463912010193,0.47455736994743347,0.05107058957219124,0.4047785699367523
89,359,0.9754349589347839,0.8658224940299988,0.04066145792603493,0.569174587726593
90,266,0.9035281538963318,0.7533911466598511,0.1097591370344162,0.4209119379520416
91,280,0.752410352230072,0.3133445680141449,0.0022671506740152836,0.05189116671681404
94,254,0.9541393518447876,0.8562659621238708,0.1550762802362442,0.6091101765632629
97,311,0.7916855216026306,0.3906097412109375,0.030551360920071602,0.264828622341156
98,269,0.9546471834182739,0.8109468817710876,0.04686402902007103,0.40314358472824097
100,307,0.6880447268486023,0.12355412542819977,0.00559005793184042,0.16018672287464142
101,288,0.8462029695510864,0.5019691586494446,0.007420370355248451,0.1681491881608963
103,255,0.9288210272789001,0.6428174376487732,0.01027610246092081,0.14982649683952332
104,306,0.7782439589500427,0.3311510384082794,0.016400756314396858,0.23137256503105164
105,238,0.543998658657074,0.14556153118610382,0.010566627606749535,0.10495486855506897
106,435,0.981867253780365,0.9239125847816467,0.19406749308109283,0.7976787090301514
107,282,0.8905048370361328,0.7197306156158447,0.10848724097013474,0.5298110842704773
108,370,0.6894267797470093,0.11721500009298325,0.0016786125488579273,0.07132633775472641
109,257,0.8809043169021606,0.5797565579414368,0.14642390608787537,0.6748037338256836
111,353,0.48300981521606445,0.07788137346506119,0.0016074450686573982,0.03422536328434944
112,307,0.7211390137672424,0.14766833186149597,0.0011537870159372687,0.09968496859073639
113,318,0.6802960634231567,0.32329797744750977,0.07226036489009857,0.39911311864852905
115,244,0.4826442301273346,0.128264918923378,0.0024584352504462004,0.02089032344520092
118,337,0.8693305850028992,0.5307395458221436,0.11913764476776123,0.6229877471923828
119,305,0.6887498497962952,0.21721971035003662,0.005697822663933039,0.07514261454343796
121,379,0.925939679145813,0.5116909742355347,5.525063170352951e-05,0.0038277162238955498
122,259,0.9333852529525757,0.7651240229606628,0.03642304986715317,0.26013967394828796
123,293,0.9296132922172546,0.711639940738678,0.025807620957493782,0.3063604533672333
126,297,0.6737774014472961,0.34334832429885864,0.06432107836008072,0.3357844948768616
129,247,0.8607001304626465,0.5233520269393921,0.028676817193627357,0.2945464253425598
131,391,0.9910792708396912,0.9660605788230896,0.1407865583896637,0.7189595103263855
133,289,0.5200315713882446,0.1341809630393982,0.13995498418807983,0.5793465375900269
134,317,0.6855414509773254,0.2493516355752945,0.04373643174767494,0.3763198256492615
136,259,0.7862110733985901,0.3367144763469696,0.02803245559334755,0.26366889476776123
137,294,0.7202936410903931,0.15847094357013702,0.011345833539962769,0.2777599096298218
138,297,0.8675681352615356,0.61195969581604,0.17361359298229218,0.5808634757995605
139,233,0.4542219936847687,0.10922098159790039,0.04015984758734703,0.23265057802200317
140,253,0.8869062066078186,0.6392704248428345,0.08574814349412918,0.39012205600738525
141,262,0.9842579364776611,0.9412155747413635,0.17725643515586853,0.7764528393745422
142,370,0.9814178943634033,0.9089955687522888,0.2546846568584442,0.8460884094238281
143,327,0.9193491339683533,0.7413827776908875,0.08828247338533401,0.42318040132522583
144,305,0.9114347100257874,0.5400597453117371,0.00030855732620693743,0.024271594360470772
146,235,0.7347971796989441,0.42946672439575195,0.0941825658082962,0.3557940125465393
148,324,0.47927749156951904,0.14723747968673706,0.025284621864557266,0.16338349878787994
149,367,0.9553557634353638,0.7460298538208008,0.16868436336517334,0.7651137709617615
150,343,0.6324532628059387,0.18557049334049225,0.0013818086590617895,0.03958559408783913
151,246,0.5643704533576965,0.1481928676366806,0.0027832812629640102,0.029623311012983322
152,295,0.8365582227706909,0.5920003056526184,0.09405852109193802,0.45472124218940735
153,386,0.9888455867767334,0.9706410765647888,0.11785458773374557,0.4698003828525543
155,285,0.48548418283462524,0.1483096480369568,0.005641718860715628,0.06455066055059433
156,224,0.8655368685722351,0.554711103439331,0.03903503715991974,0.2625127136707306
157,230,0.9338001012802124,0.7661637663841248,0.10131100565195084,0.5711297988891602
158,265,0.7290080189704895,0.2825906574726105,0.0015621371567249298,0.02417355589568615
161,363,0.8145121932029724,0.284618079662323,0.008690975606441498,0.14448386430740356
162,267,0.8262129426002502,0.5388414859771729,0.007332689594477415,0.10054080933332443
163,242,0.6639883518218994,0.22013810276985168,0.0075196195393800735,0.11063624173402786
164,262,0.8914616107940674,0.5185962915420532,0.007089647930115461,0.17752067744731903
